"spider_id","site","site_type","sex","weight","days_noweb_lab","trial_num","poke_score","percent_time_moving","tot_prey_attack","mean_Tactive_lab","ln_weight","ln_poke_score","ln_tot_prey_attack","ln_Tactive_lab","Tactive_lab","z_ln_weight","z_poke_score","z_ln_tot_prey_attack","z_ln_Tactive_lab","in_situ","z_days_noweb","landPC1","landsub_pc1","mh_pc1"
"E06","Botanical gardens","Sub urban","F",0.01,0,1,3,8.59,10,51.54,-4.60517018598809,1.25276296849537,2.35137525716348,3.9520126536443,51.54,-1.33969896241424,-0.20891954815688,-0.744230538243506,0.27244398432112,0,-0.958264270397643,-0.45961285002464,-0.401262554115808,1.9865662054721
"E07","Botanical gardens","Sub urban","F",0.02,0,1,5.5,3,7,18,-3.91202300542815,1.79175946922805,2.01490302054226,2.91777073208428,18,-0.760205507204881,1.23011136445898,-1.18194735860859,-0.17053381316724,0,-0.958264270397643,-0.45961285002464,-0.401262554115808,1.9865662054721
"E08","Botanical gardens","Sub urban","F",0.01,2,1,0,16.91,25,101.46,-4.60517018598809,-0.693147180559945,3.23867845216438,4.62458057950791,101.46,-1.33969896241424,-1.93575664329591,0.410062419522302,0.560512619182664,0,0.168297309137937,-0.45961285002464,-0.401262554115808,1.9865662054721
"E09","Botanical gardens","Sub urban","M",0.01,0,1,4,7.79,7,46.74,-4.60517018598809,1.50407739677627,2.01490302054226,3.85524099132916,46.74,-1.33969896241424,0.366692816889462,-1.18194735860859,0.230995560177774,0,-0.958264270397643,-0.45961285002464,-0.401262554115808,1.9865662054721
"E10","Botanical gardens","Sub urban","F",0.02,1,1,NA,25.96,NA,155.76,-3.91202300542815,NA,NA,5.0515212865686,155.76,-0.760205507204881,NA,NA,0.743376270451599,0,-0.394983480629853,-0.45961285002464,-0.401262554115808,1.9865662054721
"E11","Botanical gardens","Sub urban","F",0.01,0,1,5.5,11.02,NA,66.12,-4.60517018598809,1.79175946922805,NA,4.19900483276553,66.12,-1.33969896241424,1.23011136445898,NA,0.378233596232169,0,-0.958264270397643,-0.45961285002464,-0.401262554115808,1.9865662054721
"E12","Botanical gardens","Sub urban","F",0.02,0,1,3,31.95,NA,191.7,-3.91202300542815,1.25276296849537,NA,5.25853649653619,191.7,-0.760205507204881,-0.20891954815688,NA,0.832043283310362,0,-0.958264270397643,-0.45961285002464,-0.401262554115808,1.9865662054721
"E13","Botanical gardens","Sub urban","M",0.01,1,1,NA,38.77,19,232.62,-4.60517018598809,NA,2.9704144655697,5.45155334244689,232.62,-1.33969896241424,NA,0.0610777294039437,0.914714634661798,0,-0.394983480629853,-0.45961285002464,-0.401262554115808,-0.750220497856657
"E14","Botanical gardens","Sub urban","M",0.01,0,1,1.5,22.07,20,132.42,-4.60517018598809,0.693147180559945,3.02042488614436,4.88974744348639,132.42,-1.33969896241424,-1.07233809572639,0.126136298571137,0.674086659185707,0,-0.958264270397643,-0.45961285002464,-0.401262554115808,-0.750220497856657
"E15","Botanical gardens","Sub urban","F",0.09,2,1,NA,37.36,NA,224.16,-2.40794560865187,NA,NA,5.41458814821342,224.16,0.497251829426093,NA,NA,0.898882013701537,0,0.168297309137937,-0.45961285002464,-0.401262554115808,-0.759186641632298
"E16","Botanical gardens","Sub urban","I",0.01,2,1,NA,9.22,NA,55.32,-4.60517018598809,NA,NA,4.02213222810818,55.32,-1.33969896241424,NA,NA,0.302477010452931,0,0.168297309137937,-0.45961285002464,-0.401262554115808,-0.759186641632298
"F01","Hasse Park","Sub urban","F",0.01,0,1,3,5.74,14,34.44,-4.60517018598809,1.25276296849537,2.67414864942653,3.55363230470591,34.44,-1.33969896241424,-0.20891954815688,-0.32433454807631,0.10181306532957,0,-0.958264270397643,-0.424126069005071,-1.14835058483503,-0.0102535598573691
"F02","Hasse Park","Sub urban","M",0.03,5,1,5,42.96,42,257.76,-3.50655789731998,1.70474809223843,3.74950407593037,5.55396682941851,257.76,-0.421223566494072,0.942305181935804,1.07459560669155,0.958579517670366,0,1.85813967844131,-0.424126069005071,-1.14835058483503,-0.0102535598573691
"F03","Hasse Park","Sub urban","M",0.02,4,1,4,0.77,30,4.62,-3.91202300542815,1.50407739677627,3.41772668361337,1.63315443905142,4.62,-0.760205507204881,0.366692816889462,0.642986310506124,-0.72074985473613,0,1.29485888867352,-0.424126069005071,-1.14835058483503,-0.0102535598573691
"F04","Hasse Park","Sub urban","F",0.01,0,1,3,0,17,0,-4.60517018598809,1.25276296849537,2.86220088092947,-0.693147180559945,0,-1.33969896241424,-0.20891954815688,-0.0796973510742545,-1.71713179040034,0,-0.958264270397643,-0.424126069005071,-1.14835058483503,0.547489395924513
"F05","Hasse Park","Sub urban","M",0.02,4,1,5.5,21.27,31,127.62,-3.91202300542815,1.79175946922805,3.44998754583159,4.85296732474096,127.62,-0.760205507204881,1.23011136445898,0.68495447457873,0.658333308201212,0,1.29485888867352,-0.424126069005071,-1.14835058483503,0.547489395924513
"F06","Hasse Park","Sub urban","F",0.02,2,1,4,24.76,44,148.56,-3.91202300542815,1.50407739677627,3.79548918917219,5.00434890945355,148.56,-0.760205507204881,0.366692816889462,1.13441765249975,0.723171794805131,0,0.168297309137937,-0.424126069005071,-1.14835058483503,2.26900188111624
"F07","Hasse Park","Sub urban","F",0.03,2,1,5,1.51,60,9.06,-3.50655789731998,1.70474809223843,4.1026433650368,2.25758772706331,9.06,-0.421223566494072,0.942305181935804,1.53399459998105,-0.453297842943095,0,0.168297309137937,-0.424126069005071,-1.14835058483503,0.645818821567857
"F08","Hasse Park","Sub urban","M",0.04,6,1,NA,65.52,NA,393.12,-3.2188758248682,NA,NA,5.97538597689529,393.12,-0.180712051995524,NA,NA,1.13907822099802,0,2.4214204682091,-0.424126069005071,-1.14835058483503,-0.802224131755375
"F09","Hasse Park","Sub urban","M",0.03,6,1,NA,14.3,NA,85.8,-3.50655789731998,NA,NA,4.45782959808938,85.8,-0.421223566494072,NA,NA,0.489091241903367,0,2.4214204682091,-0.424126069005071,-1.14835058483503,1.30901959849947
"G01","Seeveniederung","Rural","F",0.09,2,1,4,9.18,22,55.08,-2.40794560865187,1.50407739677627,3.11351530921037,4.01782342431436,55.08,0.497251829426093,0.366692816889462,0.247237654213644,0.300631499867249,0,0.168297309137937,-1.37286878116343,-0.312743215202067,0.375935747209621
"G02","Seeveniederung","Rural","F",0.05,0,1,3,3.5,20,21,-2.99573227355399,1.25276296849537,3.02042488614436,3.06805293513362,21,0.00584317203971949,-0.20891954815688,0.126136298571137,-0.10616620446687,0,-0.958264270397643,-1.37286878116343,-0.312743215202067,0.375935747209621
"G03","Seeveniederung","Rural","F",0.04,3,1,NA,49.8,NA,298.8,-3.2188758248682,NA,NA,5.70144641485865,298.8,-0.180712051995524,NA,NA,1.02174673277825,0,0.731578098905727,-1.37286878116343,-0.312743215202067,0.375935747209621
"G04","Seeveniederung","Rural","F",0.02,1,1,NA,1.75,NA,10.5,-3.91202300542815,NA,NA,2.39789527279837,10.5,-0.760205507204881,NA,NA,-0.393202495534469,0,-0.394983480629853,-1.37286878116343,-0.312743215202067,0.375935747209621
"G05","Seeveniederung","Rural","F",0.08,0,1,5,13.11,37,78.66,-2.52572864430826,1.70474809223843,3.62434093297637,4.37147112073437,78.66,0.398781403213833,0.942305181935804,0.911770841382896,0.45210290552316,0,-0.958264270397643,-1.37286878116343,-0.312743215202067,0.375935747209621
"G06","Seeveniederung","Rural","F",0.01,0,1,0,2.02,8,12.12,-4.60517018598809,-0.693147180559945,2.14006616349627,2.53528285711307,12.12,-1.33969896241424,-1.93575664329591,-1.01912259329993,-0.334357801432173,0,-0.958264270397643,-1.37286878116343,-0.312743215202067,0.375935747209621
"G07","Seeveniederung","Rural","F",0.04,0,1,2,5.1,14,30.6,-3.2188758248682,0.916290731874155,2.67414864942653,3.43720781918519,30.6,-0.180712051995524,-0.784531913203222,-0.32433454807631,0.051947109314276,0,-0.958264270397643,-1.37286878116343,-0.312743215202067,0.375935747209621
"G08","Seeveniederung","Rural","F",0.06,0,1,3,17.76,27,106.56,-2.81341071676004,1.25276296849537,3.31418600467253,4.67338942496524,106.56,0.158269888715285,-0.20891954815688,0.508290214270856,0.581418013179865,0,-0.958264270397643,-1.37286878116343,-0.312743215202067,0.375935747209621
"G09","Seeveniederung","Rural","M",0.03,6,1,NA,59.84,NA,359.04,-3.50655789731998,NA,NA,5.88482543661827,359.04,-0.421223566494072,NA,NA,1.10029009238421,0,2.4214204682091,-1.37286878116343,-0.312743215202067,0.375935747209621
"G10","Seeveniederung","Rural","F",0.05,0,1,3,16.69,15,100.14,-2.99573227355399,1.25276296849537,2.7408400239252,4.61154979295213,100.14,0.00584317203971949,-0.20891954815688,-0.237575721599345,0.554931382329187,0,-0.958264270397643,-1.37286878116343,-0.312743215202067,0.375935747209621
"H01","Hoebeck","Rural","F",0.04,0,1,5,0.47,33,2.82,-3.2188758248682,1.70474809223843,3.51154543883102,1.1999647829284,2.82,-0.180712051995524,0.942305181935804,0.765035153634636,-0.90629000328732,0,-0.958264270397643,-0.859158082852416,-0.239170180019783,-0.361480941888394
"H02","Hoebeck","Rural","F",0.05,4,1,NA,0,NA,0,-2.99573227355399,NA,NA,-0.693147180559945,0,0.00584317203971949,NA,NA,-1.71713179040034,0,1.29485888867352,-0.859158082852416,-0.239170180019783,-0.361480941888394
"H03","Hoebeck","Rural","F",0.09,2,1,4.5,14.56,29,87.36,-2.40794560865187,1.6094379124341,3.38439026334577,4.47574463854763,87.36,0.497251829426093,0.654498999412633,0.59961895268661,0.496764461291091,0,0.168297309137937,-0.859158082852416,-0.239170180019783,-0.361480941888394
"H04","Hoebeck","Rural","M",0.02,5,1,4.5,0,45,0,-3.91202300542815,1.6094379124341,3.8177123259569,-0.693147180559945,0,-0.760205507204881,0.654498999412633,1.16332773693828,-1.71713179040034,0,1.85813967844131,-0.859158082852416,-0.239170180019783,-0.361480941888394
"H05","Hoebeck","Rural","M",0.03,5,1,3,47.93,10,287.58,-3.50655789731998,1.25276296849537,2.35137525716348,5.66323821934062,287.58,-0.421223566494072,-0.20891954815688,-0.744230538243506,1.00538171996669,0,1.85813967844131,-0.859158082852416,-0.239170180019783,-0.361480941888394
"H06","Hoebeck","Rural","F",0.06,1,1,NA,7.08,NA,42.48,-2.81341071676004,NA,NA,3.76073489121436,42.48,0.158269888715285,NA,NA,0.190517502573108,0,-0.394983480629853,-0.859158082852416,-0.239170180019783,-0.361480941888394
